Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government
Mauritius,2018,5.88174057,10.008214,0.90884155,63.92499924,0.866928101,-0.074919455,0.78524971,0.71039331,0.157993257,0.619251132
Mexico,2018,6.549578667,9.89990139,0.858068883,65.80000305,0.816200495,-0.180660099,0.808638096,0.815285325,0.213254362,0.294568479
Moldova,2018,5.682277203,9.422474861,0.89207989,64.09999847,0.823824346,-0.085678861,0.928719878,0.584049761,0.27007246,0.237631857
Mongolia,2018,5.464622974,9.39504528,0.941514134,60.20000076,0.695546806,0.052013572,0.848502219,0.524843872,0.191890299,0.270371318
Montenegro,2018,5.650189877,9.937240601,0.855979621,66.90000153,0.626431286,-0.052990995,0.768922508,0.527320683,0.354935259,0.398499161
Morocco,2018,4.896791935,8.915557861,0.553759754,63.59999847,0.773180425,-0.235266566,0.843172729,0.574673593,0.415981561,
Mozambique,2018,4.653713703,7.162192822,0.738480449,49.95000076,0.896621585,0.049394544,0.691220403,0.62029469,0.397278726,0.832037926
Myanmar,2018,4.410633087,8.40466404,0.773825943,60.57500076,0.906110823,0.49847734,0.646725893,0.640497804,0.300140351,0.878752649
Namibia,2018,4.834087849,9.2190485,0.864214778,55.72499847,0.75390476,-0.171035409,0.845942497,0.696077943,0.240249082,0.62446779
Nepal,2018,4.910086632,8.235815048,0.768335521,61.02500153,0.770093679,0.11138434,0.741752803,0.457212508,0.386792421,0.648398161
Netherlands,2018,7.463097095,10.93419456,0.939443171,71.32499695,0.919985175,0.159291357,0.370557785,0.747976542,0.204794183,0.656541049
New Zealand,2018,7.370285988,10.66583729,0.953862727,70.125,0.94930017,0.116996057,0.206580222,0.785058856,0.16795145,0.64246124
Nicaragua,2018,5.81895256,8.653413773,0.854276538,65.42500305,0.797056854,0.008089165,0.712824762,0.742867589,0.408349842,0.343466878
Niger,2018,5.164007187,7.09041214,0.612025678,55.15000153,0.790665627,0.009566282,0.637166798,0.758703887,0.502554536,0.747923851
Nigeria,2018,5.252288342,8.547737122,0.740854204,54.07500076,0.789881051,-0.010612354,0.865602672,0.761656404,0.256469876,0.45174095
North Cyprus,2018,5.608056068,,0.837391794,,0.797066092,,0.613837004,0.398250222,0.261867821,0.378323644
North Macedonia,2018,5.239834785,9.689399719,0.84891516,65.90000153,0.744800925,-0.043783113,0.909934342,0.511837602,0.298352867,0.396141589
Norway,2018,7.444262028,11.07195663,0.965961933,71.34999847,0.960429013,0.090104721,0.268201441,0.78560704,0.21186237,0.679502964
Pakistan,2018,5.471553802,8.463681221,0.685059488,56.625,0.77256912,0.068565376,0.798841655,0.469722837,0.376706064,0.58938849
Palestinian Territories,2018,4.5539217,8.717741013,0.819479287,,0.654534519,-0.15797247,0.813779533,0.528392315,0.418928534,0.392373383
Panama,2018,6.281434059,10.34300232,0.904389799,68.59999847,0.861448109,-0.132829815,0.83693099,0.840996861,0.222598746,0.277477711
Peru,2018,5.679661274,9.455747604,0.84530139,69.32499695,0.829641998,-0.179791257,0.906244636,0.783017695,0.380032867,0.202403098
Philippines,2018,5.869172573,9.049717903,0.845803261,61.97499847,0.917808175,-0.108887583,0.726483345,0.75618434,0.393481076,0.802007139
Poland,2018,6.111485004,10.3632555,0.863444209,68.52500153,0.870215118,-0.256396353,0.720451355,0.622175872,0.176010624,0.427517712
Portugal,2018,5.919822693,10.43531322,0.887113273,70.875,0.877404213,-0.263653696,0.87972784,0.645731986,0.317994744,0.520630658
Romania,2018,6.150878906,10.25848293,0.81793046,66.67500305,0.84515959,-0.219323963,0.921170175,0.648865998,0.298453927,0.226351306
Russia,2018,5.513500214,10.19078541,0.908726096,63.82500076,0.7292822,-0.149111703,0.865311563,0.615011394,0.198796302,0.45583874
Rwanda,2018,3.5610466,7.644320965,0.616172731,59.875,0.924231648,0.05737479,0.163809955,0.76513201,0.308199167,0.988120437
Saudi Arabia,2018,6.356393337,10.77043629,0.867848396,63.79999924,0.85492152,-0.194803342,,0.695532978,0.288379908,
Senegal,2018,4.769377232,8.104548454,0.739354789,59.09999847,0.629223466,-0.073555678,0.80477947,0.724179924,0.247074723,0.588927925
Serbia,2018,5.936493397,9.767254829,0.852945328,66.77500153,0.739891827,-0.10154549,0.863723576,0.527079105,0.296295851,0.476144999
Sierra Leone,2018,4.305683136,7.411314487,0.649638355,52.09999847,0.716484487,0.096256502,0.855733216,0.533417523,0.466266662,0.779726207
Singapore,2018,6.374564171,11.49499416,0.902840674,73.5,0.91607821,-0.069427244,0.096562929,0.731057048,0.106870778,0.892469287
Slovakia,2018,6.23511076,10.34685898,0.922378719,68.27500153,0.757634044,-0.167493463,0.909944654,0.669736266,0.253190041,0.327658623
Slovenia,2018,6.249419212,10.54492378,0.940971196,70.52500153,0.942045867,-0.12117143,0.839252532,0.601195991,0.27548486,0.239274636
South Africa,2018,4.8839221,9.537911415,0.841343999,55.67499924,0.752731323,-0.058371451,0.841192603,0.73595494,0.282708496,0.5246858
South Korea,2018,5.840231419,10.6441946,0.79772383,72.82499695,0.600161672,-0.091402687,0.796825886,0.578780234,0.217145726,0.389084011
Spain,2018,6.513370991,10.60303783,0.910314679,71.97499847,0.7222507,-0.077235363,0.776504457,0.63557899,0.357190847,0.285195619
Sri Lanka,2018,4.435023785,9.461901665,0.832882166,66.90000153,0.858873606,0.104748286,0.855907619,0.773361444,0.301813632,0.582941115
Sweden,2018,7.374792099,10.86569405,0.93067956,71.77500153,0.941724658,0.07513386,0.262796581,0.746743917,0.160755426,0.49439624
Switzerland,2018,7.508586884,11.16474724,0.930290997,72.30000305,0.926414549,0.095868193,0.301259965,0.755630374,0.191520154,0.84997946
Taiwan Province of China,2018,6.467004776,10.78080177,0.896458745,,0.741032779,-0.175206393,0.735970736,0.745919168,0.092695646,0.311722934
Tajikistan,2018,5.497468948,8.136027336,0.875243485,61.84999847,,-0.06876877,0.577945948,0.63173908,0.219793811,
Tanzania,2018,3.445023298,7.859490871,0.6753304,58.04999924,0.807142138,0.153373837,0.611534059,0.701750636,0.221005499,0.914648473
Thailand,2018,6.011561871,9.803431511,0.873052418,68.22499847,0.90482825,0.257171512,0.906596005,0.782850683,0.198190212,0.605364442
Togo,2018,4.022894859,7.631108761,0.596353889,55.70000076,0.611966252,-0.026699353,0.808537722,0.601868391,0.446454376,0.323221207
Tunisia,2018,4.741132259,9.340084076,0.732953548,66.84999847,0.649680078,-0.19626759,0.84011662,0.535870433,0.365014285,0.349490464
Turkey,2018,5.185689449,10.25126839,0.847027302,68.22499847,0.528629065,-0.177682102,0.804878533,0.37929222,0.350773096,0.513677061
Turkmenistan,2018,4.620601654,9.605442047,0.984488964,62,0.857774079,0.258207917,,0.567175508,0.189024538,
Uganda,2018,4.321714878,7.661429405,0.739841044,57.72499847,0.728512764,0.079168208,0.856106222,0.686664224,0.390319228,0.50385344
